"title","share_title","share_description","content"
"清晨感恩","","","新的一天，微笑着感谢每天生命的给予，期待新的一天的开启。"
"清晨积极心态","清晨积极心态","每天都是唯一的，每天都是全新的，让我们学着放下过去，迎接新的开始。","每天都是唯一的，每天都是全新的，让我们学着放下过去，迎接新的开始。"
"夏日的宁静","夏日的宁静","今晚，我将慢慢地带你感受温暖而宁静的夏天。在这样的夏日美景中，纯粹的放松、惬意安睡吧。","今晚，我将慢慢地带你感受温暖而宁静的夏天。在这样的夏日美景中，纯粹的放松、惬意安睡吧。"
"怎样在运动中培养正念的习惯","Now正念践行训练营带领者Stella带你一起正念运动","穿上跑鞋，我们一起集体在线Mini运动，让运动充满乐趣和动力。","我们一起学习如何正念运动并在运动中养成正念的习惯"
"从孕育智慧转化为养育之道","正念养育","郑睿敏。中国疾病预防控制中心妇幼保健中心  妇女卫生保健部副主任","带领老师：郑睿敏。中国疾病预防控制中心妇幼保健中心  妇女卫生保健部副主任"
"雨声轻弹|减压助眠钢琴曲","雨声轻弹|减压助眠钢琴曲","一架钢琴，一场雨，感受钢琴与大自然雨声的完美交织。洗涤烦恼与不安，让心灵全然放松，自由休憩吧~","澳大利亚乐团Piano Peace全新减压、助眠音乐专辑，Now独家发布。"
"定静之力安住考试季","定静之力安住考试季","曾静。北京大学医学部正念教研课题组负责人；正念教育MBPE项目联合发起人","带领老师：曾静。北京大学医学部正念教研课题组负责人"
"正念饮食 学会吃喝减肥","正念饮食 学会吃喝减肥","正念饮食 学会吃喝减肥","带领老师：陈赢。牛津正念中心正念认知疗法4阶教师；美国正念饮食中心L2阶合格教师"
"21天改善睡眠训练营","推荐你Now冥想--21天改善睡眠训练营","","三周时间全方位放松身心、重塑认知、给你真正好睡眠。"
"21天改善睡眠训练营","21天改善睡眠训练营","三周时间全方位放松身心、重塑认知、给你真正好睡眠。","三周时间全方位放松身心、重塑认知、给你真正好睡眠。"
"新手入门第一课","新手入门第一课","新手入门第一课","一天一解锁，由浅入深，了解冥想，学习冥想核心技巧。课程特配微信学习群，深化冥想体验。"
"减压舒眠计划","减压舒眠瑜伽计划","1天1节，80%的用户循环练习该计划后，有效缓解了压力与焦虑，获得安稳睡眠","一天一解锁，由浅入深，了解冥想，学习冥想核心技巧。课程特配微信学习群，深化冥想体验。"
"全身锻炼计划","排毒养颜计划","让你告别疲劳，焕发生机，从此蜜桃臀天使背维密胸不是梦","一天一解锁，由浅入深，了解冥想，学习冥想核心技巧。深化冥想体验。"
"排毒养颜计划","排毒养颜计划","了解冥想，学习冥想核心技巧。课程特配微信学习群，深化冥想体验。","一天一解锁，由浅入深，了解冥想，学习冥想核心技巧。课程特配微信学习群，深化冥想体验。"
"综合理疗计划","综合理疗瑜伽计划","一天一节，可有效恢复脊柱活力，灵活脊柱","一天一解锁，由浅入深，了解冥想，学习冥想核心技巧。课程特配微信学习群，深化冥想体验。"
"HGH Sleep","HGH Sleep","深度睡眠中自然释放生长激素，促进骨骼生长，身体修复，改善血液循环，和增进肌肤活力等辅助功能。","深度睡眠中自然释放生长激素，促进骨骼生长，身体修复，改善血液循环，和增进肌肤活力等辅助功能。"
"初学者7天基础","和我一起学正念冥想吧~","Now 冥想倾力打造，0基础小白入门训练营。专业冥想入门课程。","练习完成后，你会对正念冥想有一个清晰的概念，并掌握基本的冥想技巧和方法 。"
"新手入门第一课","和我一起学正念冥想吧~","Now 冥想倾力打造，0基础小白入门训练营。专业冥想入门课程。","练习完成后，你会对正念冥想有一个清晰的概念，并掌握基本的冥想技巧和方法 。"
"7天基础冥想","和我一起学正念冥想吧~","Now 冥想倾力打造，0基础小白入门训练营。专业冥想入门内容。","练习完成后，你会对正念冥想有一个清晰的概念，并掌握基本的冥想技巧和方法 。"
"入门必修课","和我一起学正念冥想吧~","Now 冥想倾力打造，0基础小白入门训练营。专业冥想入门课程。","练习完成后，你会对正念冥想有一个清晰的概念，并掌握基本的冥想技巧和方法 。"
"轻松醒神冥想","4个快速醒神的小练习","简单、短时、速效的小练习，帮助你提振精神、恢复元气。","4个快速醒神的小练习，在任何需要“提振精神、恢复元气”的场景中去练习。"
"《冥想与开悟的科学》","《冥想与开悟的科学》","从科学的角度去探索正念冥想与开悟","本书原名为《Siddhartha's Brain-The Science of Meditation, Mindfulness, and Enlightenment》，是英国作家James Kingsland的著作。因没有中文版，我们暂翻译书名为《正念冥想与开悟的科学》。主要讲述了作者从一个冥想的怀疑者转变为一个坚定的冥想推动者的故事。"
"渐入睡眠- 安心沙滩","晚上没睡意？听这个快速入眠！","入睡困难？无睡意？半夜醒来、难以再入睡？帮助你找回睡意，逐渐进入深睡眠。","在入睡困难或者无睡意时帮助你找回睡意，获得高质量深睡眠。也可以在半夜醒来、难以再入睡的时候练习。"
"宇宙星辰","睡眠故事|宇宙星辰","今晚，跟随我一起踏上宇宙星辰的神奇旅程吧。然后，在静谧广阔的星空下慢慢入睡。","今晚，跟随我一起踏上宇宙星辰的神奇旅程吧。然后，在静谧广阔的星空下慢慢入睡。"
"静心安神 | 悠扬长笛","静心安神 | 悠扬长笛","柔美、悠扬的音乐慢慢淌入心田，心旷神怡。全身的细胞渐渐放松，静享这平和的时光吧~","柔美、悠扬的音乐慢慢淌入心田，心旷神怡。全身的细胞渐渐放松，静享这平和的时光吧~"
"如何与负面情绪相处","空中冥想带领导师王雯雯讲述如何与负面情绪相处","运用正念，与负面情绪相处，获得内心的平和。","带领老师：王雯雯。"
"正念如何预防抑郁复发","空中冥想带领导师Andy王书华讲述正念如何预防抑郁复发","运用正念，预防抑郁复发。","带领老师：Andy王书华。"
"怎样正念应对社交恐惧","Now正念践行训练营带领Stella讲述怎样正念应对社交恐惧","学习怎样正念应对社交恐惧。","社交恐惧？一起和Stella学习正念应对社交恐惧吧。"
"睡前放松- 宁静夜空","累了一天了，听这个快速放松入眠！","有时候太累了，反而睡不着。躺在床上，听一听这个睡前练习，帮助深层次放松身心，自然入眠。","结束了一天的繁忙，在晚上入睡前，让我们静静躺下来，放松一下，给身心放个假，我将带你踏上一段神奇的夜空之旅。"
"太阳耀斑","太阳耀斑","融合了柔美的钢琴声、唱诵及合成乐，帮助你把注意力重新集中在当下时刻。","融合了柔美的钢琴声、唱诵及合成乐，帮助你把注意力重新集中在当下时刻。"
"繁星点点","我发现了一个宝藏音乐","我在Now冥想APP发现了一个很棒的睡眠音乐，想和你一起听～","一首梦幻般的音景，非常适合入睡时收听。"
"宁静冰川","我发现了一个宝藏音乐","我在Now冥想APP发现了一个很棒的放松音乐，想和你一起听～","舒缓的钢琴旋律与合成乐相结合，适用于冥想、放松时。"
"斗转星移","我发现了一个宝藏音乐","我在Now冥想APP发现了一个很棒的音乐，想和你一起听～","积极振奋的声乐与合成乐相结合，激发畅想积极未来。"
"火星瀑布","我发现了一个宝藏音乐","我在Now冥想APP发现了一个很棒的冥想音乐，想和你一起听～","流动变化的韵律，冥想练习时的理想选择。"
"舒缓悲伤","","","生活中每个人都会有难过、消沉的时刻。希望接下来的练习能给你带来身心的放松和安抚。"
"缓解难过心情","","","生活中每个人都会有难过、消沉的时刻。希望接下来的练习能给你带来身心的放松和安抚。"
"90秒平息怒火","","","90秒小练习，让愤怒的火苗在温柔的呼吸里快速平息。"
"愤怒的STOP练习","","","愤怒的情绪也需要被感受、被看到、被尊重。跟随引导，慢慢觉察它，表达它，接纳它，释放它。"
"缓解焦虑","缓解焦虑","不去期待根除焦虑，让它在心灵的天空，如云彩般自由来去。","不去期待根除焦虑，让它在心灵的天空，如云彩般自由来去。"
"平息焦虑","平息焦虑","如果你快要被焦虑吞没，闭上眼，在心里构筑一处安稳、包容与觉察的空间，让焦虑自然消散。","如果你快要被焦虑吞没，闭上眼，在心里构筑一处安稳、包容与觉察的空间，让焦虑自然消散。"
"摆脱沮丧","","","当沮丧情绪出现，你可以把它当做是一个练习的机会，练习如何更好的与负面情绪相处的机会。"
"拥抱沮丧","","","每个人都会经历沮丧情绪，有时它很快会走，有时会停留久一些。跟随引导，慢慢提升对自我的觉察，培养对自己的关怀与接纳。"
"走出迷茫","","","有时我们会丧失对生活的热情，感到空虚又茫然。希望这个练习，可以帮到你找回目标和意义感。"
"拥抱不确定性","","","慢慢放下控制，允许生活以它本来的样子去运作。即使变化让人迷茫无措，也可以放松地去做该做的事，同时不忘感恩。"
"缓解疲劳","","","在我们累的喘不过气的时候，试着让自己暂停几分钟，在温柔而简单的练习中，让大脑和身体重新获得原有的活力和平衡。"
"消除疲惫","","","生活抛给我们的难题无穷无尽，我们还有一生的时间去思考解决方案。这5分钟，只要好好休息。"
"平静之心","","","静坐片刻，聚焦注意力，哪儿都不去，只是静静待在此时，此地。"
"心如海洋般平静","","","让自己的心就像大海一样沉静、广阔、深厚，包容万物。所有的生命的体验就像波浪一样，自由来去。"
"压力疏解","压力疏解","简单有效的冥想小练习，帮助你心安当下，避免压力累积，打破压力循环。","简单有效的冥想小练习，帮助你心安当下，避免压力累积，打破压力循环。"
"减压愈疗","","","压力如同阻碍我们前行的风，风起时，试着停下脚步，让身体放松，让内心变柔软，你会发现压力正在悄然变化。"
"应对无聊","","","当我们感到无聊时，与其马上要看点什么或玩点什么，我们可以试着用这个机会，去做一些自我的探索和反思。"
"探索无聊","","","要缓解无聊感，只要调动我们生来就有的好奇心，无聊感自然就消散了。"
"喜悦冥想","","","这个练习，帮助你进一步增强这种积极心态，从而提升你的行动力，更加接近和实现你的梦想和目标。"
"开心冥想","","","很高兴知道你此刻是开心快乐的，接下来这个练习将加深你的快乐感受并把这种快乐传播出去。"
"摆脱过度担忧","","","这个冥想将帮助你找到内心的平静，减轻忧虑感，以一个积极的新视角看待生活挑战。"
"放下担忧","","","生活中有无数不确定的东西，做几次深呼吸，轻轻地把自己拉回到当下，让忧虑的念头自然消散。"
"感恩的力量","","","放慢脚步，花点时间去觉察那些简单、真实且持久的事物，就能体验到强大的心的力量。"
"邀请感恩","","","感恩的第一步就是看到，看到那些维持着、关怀着我们生命的一切，然后对它们心怀感激。"
"蜗牛与玫瑰","送给大人们的精品睡前故事","风格多样、轻松有趣的睡前故事，放松不安眠的成人。","今晚，给大家带来的睡眠故事是安徒生童话中蜗牛和玫瑰的故事。听完故事就睡觉吧~"
"摆脱过度担忧-男声版","","","这个冥想将帮助你找到内心的平静，减轻忧虑感，以一个积极的新视角看待生活挑战。"
"放下担忧-男声版","","","生活中有无数不确定的东西，做几次深呼吸，轻轻地把自己拉回到当下，让忧虑的念头自然消散。"
"缓解焦虑-男声版","","","不去期待根除焦虑，让它在心灵的天空，如云彩般自由来去。"
"平息焦虑- 男声版","","","如果你快要被焦虑吞没，闭上眼，在心里构筑一处安稳、包容与觉察的空间，让焦虑自然消散。"
"拥抱沮丧- 男声版","","","每个人都会经历沮丧情绪，有时它很快会走，有时会停留久一些。跟随引导，慢慢提升对自我的觉察，培养对自己的关怀与接纳。"
"摆脱沮丧- 男声版","","","当沮丧情绪出现，你可以把它当做是一个练习的机会，练习如何更好的与负面情绪相处的机会。"
"开心冥想- 男声版","","","很高兴知道你此刻是开心快乐的，接下来这个练习将加深你的快乐感受并把这种快乐传播出去。"
"喜悦冥想- 男声版","","","这个练习，帮助你进一步增强这种积极心态，从而提升你的行动力，更加接近和实现你的梦想和目标。"
"拥抱不确定性- 男声版","","","慢慢放下控制，允许生活以它本来的样子去运作。即使变化让人迷茫无措，也可以放松地去做该做的事，同时不忘感恩。"
"走出迷茫- 男声版","","","有时我们会丧失对生活的热情，感到空虚又茫然。希望这个练习，可以帮到你找回目标和意义感。"
"应对无聊- 男声版","","","当我们感到无聊时，与其马上要看点什么或玩点什么，我们可以试着用这个机会，去做一些自我的探索和反思。"
"探索无聊- 男声版","","","要缓解无聊感，只要调动我们生来就有的好奇心，无聊感自然就消散了。"
"深睡眠，提升自我价值","自我价值感低？睡着睡着，就能提高哦！","综合医疗健康领域专业老师，帮助你疗愈因自我批判，自我怀疑而引发的压力及睡眠障碍。","跟随引导，慢慢进入深睡眠，并提升你的自信和自我价值感。"
"90秒平息怒火-男声版","","","90秒小练习，让愤怒的火苗在温柔的呼吸里快速平息。"
"愤怒的STOP练习-男声版","","","愤怒的情绪也需要被感受、被看到、被尊重。跟随引导，慢慢觉察它，表达它，接纳它，释放它。"
"缓解疲劳-男声版","","","在我们累的喘不过气的时候，试着让自己暂停几分钟，在温柔而简单的练习中，让大脑和身体重新获得原有的活力和平衡。"
"消除疲惫-男声版","","","生活抛给我们的难题无穷无尽，我们还有一生的时间去思考解决方案。这5分钟，只要好好休息。"
"平静之心-男声版","","","静坐片刻，聚焦注意力，哪儿都不去，只是静静待在此时，此地。"
"心如海洋般平静-男声版","","","让自己的心就像大海一样沉静、广阔、深厚，包容万物。所有的生命的体验就像波浪一样，自由来去。"
"蔚蓝大海","睡眠故事|","我看见海天一色，浪花朵朵，海豚跃出海面，我听见轻柔的潮水声，就像大海熟睡的鼾声。","欢迎来到Now睡眠故事。今晚，我们一起去大海边，享受那蔚蓝清爽、海阔天空的感觉。运气好的话，还能看到海豚跃出水面的景观。"
"舒缓悲伤-男声版","","","生活中每个人都会有难过、消沉的时刻。希望接下来的练习能给你带来身心的放松和安抚。"
"缓解难过心情-男声版","","","生活中每个人都会有难过、消沉的时刻。希望接下来的练习能给你带来身心的放松和安抚。"
"感恩的力量-男声版","","","放慢脚步，花点时间去觉察那些简单、真实且持久的事物，就能体验到强大的心的力量。"
"邀请感恩-男声版","","","感恩的第一步就是看到，看到那些维持着、关怀着我们生命的一切，然后对它们心怀感激。"
"压力疏解-男声版","","","简单有效的冥想小练习，帮助你心安当下，避免压力累积，打破压力循环。"
"减压愈疗-男声版","","","压力如同阻碍我们前行的风，风起时，试着停下脚步，让身体放松，让内心变柔软，你会发现压力正在悄然变化。"
"《不羁的灵魂》","不羁的灵魂","千万人的冥想启蒙之书","这本书，子晨老师称它为自己的启蒙老师。他说：“如果没有这本书，我真不确定我是否会走上冥想老师这条路”。奥普拉也曾说这本书是她读过最好的书。可以说，对于想要更好地理解自己的人来说，本书是不可错过的选择。"
"增强免疫力练习","提升免疫力冥想","我在Now冥想提升免疫力，快来和我一起练习吧！","你对身体的注意力越集中，你的免疫系统会变得越强。让我陪你一起在冥想中获得疗愈，守护你的健康！"
"身心清理|美好睡眠","身心清理|美好睡眠","松弛紧绷的身心是睡眠的关键。正念觉察就像一道光，光照到哪里，哪里的紧绷就被驱散。","松弛紧绷的身心是睡眠的关键。正念觉察就像一道光，光照到哪里，哪里的紧绷就被驱散。"
"晚风庭院","我发现了一个宝藏睡前故事","风格多样、轻松有趣的睡前故事，放松不安眠的成人。","今天我们将一起走进菊花飘香、黄叶飞舞的庭院，慢慢听风来来去去，闻雨点点滴滴。"
"26天健康减肥行动营","26天健康减肥行动营","不节食，不反弹，从根本上重塑你的好身材","不节食，不反弹，从根本上重塑你的好身材"
"正念有声日历","","","Now 正念有声日历 2021"
"matt 8天基础","","","test"
"日历新音频","2021年日历新音频","2021年日历新音频","2021年日历新音频"
"7天冥想入门必修课","和我一起学正念冥想吧~","Now冥想倾情打造，七天时间，带你体验一个全新的世界，让你遇见一个崭新的自己。","0基础小白必备！适合零基础用户的简单冥想技巧练习。"
"青鸟","Now睡眠故事|青鸟","如果世界上有一只能带来幸福的鸟，你会不会跋山涉水去寻找它呢？","如果世界上有一只能带来幸福的鸟，你会不会跋山涉水去寻找它呢？"
"21天正念成长蜕变训练营","21天正念成长蜕变训练营","系统深入学习正念，建立终生受益的冥想习惯，让生命发生蜕变","系统深入学习正念，建立终生受益的冥想习惯，让生命发生蜕变"
"高原列车","我发现了一个宝藏睡前故事","风格多样、轻松有趣的睡前故事，放松不安眠的成人。","欢迎乘坐本次高原列车。今晚，我们将乘坐青藏铁路的高原列车，穿越世界屋脊，开启一场壮丽神奇的旅行。"
"7日收心冥想计划","7日收心冥想计划","我正在Now冥想参加7日节后收心冥想计划，快来和我一起吧！","节后开工，快速收心，开启活力高效一整天!"
"《人生图书馆》","人生图书馆","“在生与死之间有座图书馆，一排排的书架上每一本书都是你做的不同的选择的生活轨迹。如果可以重新选择，你是否会与如今不同？”","这是一本在2020年获得诸多奖项的英国小说。原版名为《The Midnight Library》，因为没有官方中文名，子晨老师翻译其为《人生图书馆》。
如果你能重新活一遍，你会改变什么呢？如果你对这个问题感兴趣，就来听听这本书吧！"
"正念时间管理","正念时间管理","给大脑解套，理解时间管理的本质，看清时间管理的常见误区，自在做事，自在休息，自在生活。","给大脑解套，看清时间管理的常见误区，自在做事，自在休息，自在生活。"
"外语助眠- A Treehouse","外语助眠- A Treehouse","舒缓的英语、流水般的节奏，抚慰心灵，释放焦虑与压力。","舒缓的英语、流水般的节奏，抚慰心灵，释放焦虑与压力。"
"外语催眠-Desert Nights","","","今晚，我将带你去广袤的沙漠，踏上一次沙漠魔毯之旅~听不懂英语？没关系，相信你一样能沉醉其中。外语更助眠~"
"清晨唤醒-早安清晨","清晨唤醒-早安清晨","伴着这首早安曲，新的一天开始了。","伴着这首早安曲，新的一天开始了。"
"睡眠钢琴恰空舞曲-月光","睡眠钢琴恰空舞曲-月光","让这首助眠的SPA音乐，舒缓你的压力和疲劳。","让这首助眠的SPA音乐，舒缓你的压力和疲劳。"
"解压音乐-奇特之光","解压音乐-奇特之光","在生活的风暴里，为你提供一处明亮、温暖、安全、舒适之地。","在生活的风暴里，为你提供一处明亮、温暖、安全、舒适之地。"
"10天放松冥想计划","10天放松冥想计划","我正在Now冥想参加10天放松冥想计划，快来和我一起吧！","这个课程是向所有疲惫、紧张、焦虑的人们发出的一个邀请，邀请大家回归平和、放松、喜乐的状态，让你的人生越来越美好。"
"倾听雨声","倾听雨声","让大自然的雨声，一点点放松你的身心，引你入梦。","无论是漫漫长夜，还是忙碌的工作生活，点开雨声诗集，倾听声音风景，让烦躁、疲惫的心随着雨声慢慢放松、平静下来..."
"遗失的连接","遗失的连接","TED Talk千万人气演讲作家英国记者约翰．海利作品","「一本阐述为何没有人应该被隔离在孤岛上的细腻清晰的著作。无论你是轻微的忧郁症状，或是严重到曾有轻生的念头，如果你希望看到真实，且持续地改变，拿起这本书来读，它可以提供你适当的指引。」——艾玛．汤普逊（Emma Thompson，英国演员、奥斯卡影后）"
"海浪轻涌","","","最新实录大海白噪音。此刻，心灵与大自然共鸣，烦躁、疲惫、压力随着海浪一点点被带走..."
"轻人声引导冥想","轻人声引导冥想","专为冥想进阶打造。通过减少人声引导，增加自主练习时间加深我们的练习体验。","通过增加整个冥想时长以及减少冥想过程中的人声引导，增加自主练习时间，加深我们的练习体验。"
"午间小憩·恢复精力","午间小憩·恢复精力","每天适时让自己暂停，休息一会儿，以养精蓄锐，更加清醒和精神焕发。","每天适时让自己暂停，休息一会儿，充充电，以养精蓄锐，更加清醒和精神焕发。"
"如何简单地开启正念练习","","","让Now带你开始正念之旅"
"正念练习的7个态度","","","在开始之前，了解一下正念的核心态度，这会对你学习冥想很有帮助。"
"倾听与发问｜觉醒在此刻之一","倾听与发问｜觉醒在此刻之一","一套冥想者的进阶练习，我们一起去探索那些处于意识底层的问题，包括语言、想法、觉察、爱、恐惧、时间、生死等等。","一套面向冥想者的进阶专辑，我们一起去探索那些处于意识底层的问题，包括语言、想法、觉察、爱、恐惧、时间、生死等等。"
"助眠养心音乐","助眠养心音乐","如柳絮般轻舞，如月光般泄地，轻轻划过心头，感受音乐里的安心与疗愈的力量。","如柳絮般轻舞，如月光般泄地，轻轻划过心头，感受音乐里的安心与疗愈的力量。"
"深夜重返睡眠冥想","重返好睡眠","如果你半夜醒来或者早上早醒，再无睡意，让舒缓温柔的声音帮助你重返好睡眠~","当你在半夜突然醒来或者凌晨三四点自然醒来，再无睡意时，让舒缓温柔的声音帮助你放下大脑里所有的想法思绪，重返好睡眠~"
"高品质人生的10个原则","高品质人生的10个原则","人生的每一处细节都值得品味","一日看人生，如何过好一天就是如何过好一生。祝愿每一位伙伴都能在这个课程里获得启发，提升生命效能，成就生命的自在与喜悦！"
"阿拉丁神灯","阿拉丁神灯","如果你可以向阿拉丁许一个愿望，你的愿望会是什么呢？请仔细想一想。","如果你可以向阿拉丁许一个愿望，你的愿望会是什么呢？请仔细想一想。"
"培养好奇心","","","像一个外星人一样，好好去欣赏和感受地球的样子。充满好奇地去感受身边的一切。"
"珍惜当下","","","如果今天，是你被时光机重新带回来的一天，你会怎么度过这平凡而珍贵的一天呢？"
"内在的情绪小人","","","想象你的心里有一个小人，它是你当下内心情绪的化身。现在，听听它想对你说什么吧~"
"正念喝水","","","辛苦工作了这么久，起身活动一下，喝一杯水吧。"
"什么让你幸福？","什么让你幸福？","我们都想要幸福，但什么是幸福呢？请允许答案在你心里自动浮现~","我们都想要幸福，但什么是幸福呢？请允许答案在你心里自动浮现~"
"感恩双腿","","","感恩的升起，往往从意识到拥有开始。从此刻起，请带着觉察之心，去看待你拥有的双腿。"
"品味失败","","","我们都不喜欢失败，今天我们用这个小练习来重新审视一下失败，唤起内心的勇气。"
"爱自己","","","爱自己，承认自己的不完美，去接受我们最真实的样子。"
"一分钟呼吸","","","正念呼吸是最简单的正念练习。教你从心开始呼吸，快速与身心重建联系，回到当下。"
"一分钟身体扫描","","","经典正念练习，帮助重建身心关系，培养专注力、平静和正念，缓解身体不适。"
"两分钟平静","","","以呼吸为锚定点，释放所有的紧张，慢慢平静下来。"
"两分钟呼吸","","","正念呼吸是最简单的正念练习。 教你从心开始呼吸，快速与身心重建联系，回到当下。"
"两分钟放松","","","2分钟心灵旅行。以呼吸为锚，慢下来，放轻松，感受压力慢慢变化与消失~"
"三分钟专注","","","重新聚焦你的专注力，让接下来的工作学习更高效。"
"三分钟提神","用呼吸为自己充电提神","用呼吸为自己充电提神，唤醒身体，激活身心能量。","用呼吸为自己充电提神，唤醒身体，激活身心能量。"
"四分钟舒缓身心","","","忙碌的身体需要我们好好照顾。给自己四分钟时间，让呼吸的温暖舒缓身心的疲惫与压力。"
"四分钟自我关爱","","","如实接纳当下的自己。收获关爱自己的力量。"
"亲密关系","亲密关系","豆瓣9.3高分佳作，通往自我成长的桥梁","豆瓣9.3高分佳作，通往自我成长的桥梁"
"脊柱的扭转A","脊柱的扭转A","灵活的脊柱扭转，让肩胛、颈椎、胸廓的压力得以释放","灵活的脊柱扭转，让肩胛、颈椎、胸廓的压力得以释放。"
"骨盆时钟A","骨盆时钟A","透过轻柔的滚动，找到你整体的动力之源","透过轻柔的滚动，找到你整体的动力之源"
"骨盆时钟B","骨盆时钟B","动力之源与头部的美妙协作，骨盆与头部协作影响带来由中心向四肢扩散的舒展","动力之源与头部的美妙协作，骨盆与头部协作影响带来由中心向四肢扩散的舒展"
"卷曲与伸展","卷曲与伸展","观照整体的注意力的出现，多个局部部位结合起来的整体协作","观照整体的注意力的出现，多个局部部位结合起来的整体协作"
"眼部舒缓运动：搓手熨目","眼部舒缓运动：搓手熨目","搓手熨目 激活放松眼部肌肉","搓手熨目 激活放松眼部肌肉"
"久坐舒缓放松","","","将正念融入伸展运动，帮助舒缓腰腿的僵硬，增强腰腿灵活度。适合长期久坐人群。"
"缓解视疲劳：调节视焦","缓解视疲劳：调节视焦","让眼睛更水润明亮","缓解视疲劳：调节视焦"
"灵动眼神：眼球书写","灵动眼神：眼球书写","有效放松眼球","灵动眼神：眼球书写"
"强化眼力：虚实练习","强化眼力：虚实练习","让眼睛看得更清晰","强化眼力：虚实练习"
"舒缓双肩：开肩练习","舒缓双肩：开肩练习","有效缓解肩部紧绷","舒缓双肩：开肩练习"
"舒展双臂","舒展双臂","激活手臂感知力","舒展双臂"
"舒缓放松手腕","舒缓放松手腕","有效改善鼠标手的不适","舒缓放松手腕"
"放松肩颈","放松肩颈","张弛有度，舒缓肩颈肌肉。","放松肩颈"
"舒展手指","舒展手指","缓解手关节的僵硬与疲劳。","舒展手指"
"清晨唤醒·身心激活","清晨唤醒·身心激活","帮助你与自己的呼吸和身体相连接，从而精神饱满地开启新的一天。","帮助你与自己的呼吸和身体相连接，从而精神饱满地开启新的一天。"
"晚间舒眠·放松身心","晚间舒眠·放松身心","帮助你在晚上睡觉前，伸展放松一下，舒缓精神压力和肌肉的紧张感。","帮助你在晚上睡觉前，伸展放松一下，舒缓精神压力和肌肉的紧张感。"
"正念养生呼吸操","正念养生呼吸操","深深地呼吸，随着呼吸去伸展运动，强身健体，放松身心。","深深地呼吸，随着呼吸去伸展运动，强身健体，放松身心。"
"正念骑自行车","正念骑自行车","把注意力带到当下骑自行车的运动中，充分享受骑车的快乐和平静！","把注意力带到当下骑自行车的运动中，充分享受骑车的快乐和平静！"
"脊柱的扭转B","脊柱的扭转B","灵活的脊柱扭转，学会同时释放几处关节压力的艺术","灵活的脊柱扭转，学会同时释放几处关节压力的艺术"
"肩颈舒缓放松","肩颈舒缓放松","将正念融入伸展运动，帮助舒缓肩颈的僵硬疲累。适合长期久坐人群。","将正念融入伸展运动，帮助舒缓肩颈的僵硬疲累。适合长期久坐人群。"
"腰腿舒缓放松","腰腿舒缓放松","将正念融入伸展运动，帮助舒缓腰腿的僵硬，增强腰腿灵活度。适合长期久坐人群。","将正念融入伸展运动，帮助舒缓腰腿的僵硬，增强腰腿灵活度。适合长期久坐人群。"
"内心和语言 | 觉醒在此刻之二","内心和语言 | 觉醒在此刻之二","觉醒在此刻系列第二讲。语言本身有语法构架，组词原则等，有很强的逻辑。但语言逻辑是内心的逻辑吗？","觉醒在此刻系列第二讲。语言本身有语法构架，组词原则，音调等，有很强的逻辑。但语言逻辑是内心的逻辑吗？"
"拥抱你的抑郁情绪","拥抱你的抑郁情绪","基于接纳承诺疗法（ACT）的自助书","基于接纳承诺疗法（ACT）的自助书"
"发刊词 | 你为什么需要练习动中觉察","发刊词 | 你为什么需要练习动中觉察","用世界上最温柔且优雅的方法，带你开始一趟既神奇又落地的身心愈疗之旅。","用世界上最温柔且优雅的方法，带你开始一趟既神奇又落地的身心愈疗之旅。"
"舒缓焦虑","","","这个冥想练习将帮助你回到当下，舒缓焦虑情绪，找回内在的安宁。"
"轻松戒烟","轻松戒烟","通过引导式练习，重塑习惯，戒除烟瘾诱惑。","通过引导式练习，重塑习惯，戒除烟瘾诱惑。"
"发刊词 | 给你一个将冥想融于生活的方法","发刊词 | 给你一个将冥想融于生活的方法","为什么要正念伸展，如何做，听我给你细细讲来。","如果你有久坐不动的习惯，或者想进一步加深你的正念练习，这套练习就是专门为你而设计的。"
"2021 618活动 睡眠营","","","坚持5天，一步步改善舒眠质量"
"释放压力","","","运用正念、呼吸和积极意象帮助你深度放松，释放压力。"
"消除疲劳","","","这个冥想练习将帮助你放松身心，充分地休息，以恢复能量，消除疲惫感。"
"平息愤怒","","","这个冥想练习将帮助你放松下来，释放愤怒情绪，恢复内在的平静和稳定。"
"儿童正念情绪管理","儿童正念情绪管理","当孩子无法控制自己的情绪时，会对周围的一切感到不舒服，会不快乐。这些正念练习帮助孩子从情绪中快速复原并成长。","当孩子无法控制自己的情绪时，会对周围的一切感到不舒服，会不快乐。这些正念练习帮助孩子从情绪中快速复原并成长。"
"深夜惊醒舒缓","深夜惊醒舒缓","这个冥想将帮助你在深夜惊醒时放松下来，并重新入睡。","这个冥想将帮助你在深夜惊醒时放松下来，并重新入睡，进入梦乡。"
"减轻抑郁","","","深深滋养你的内心，唤醒自我友善的温暖治愈力量，帮助你减轻抑郁情绪。"
"疗愈悲伤","","","这个冥想练习将让你感到安慰和治愈，走出悲伤难过的情绪。"
"消除迷茫","","","这个冥想练习将帮助你在感到不确定的时候安下心来，消除迷茫。"
"舒缓忧虑","","","这个冥想练习将帮助你放松下来，舒缓由忧虑引起的身心紧绷。"
"平静身心","","","这个冥想练习将帮助你释放压力和紧张，平静身心，安住当下。"
